text_id,original_text,token,pos,dep,head
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,#,SYM,punct,update
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,ethereum,NOUN,compound,update
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,price,NOUN,compound,update
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,update,NOUN,nsubj,follow
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,#,SYM,dep,update
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,eth,NOUN,nmod,usd
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,1628,NUM,nummod,usd
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,77,NUM,nummod,usd
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,usd,NOUN,appos,update
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,#,SYM,dep,update
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,bitcoin,VERB,acl,update
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,0,NUM,nummod,bitcoin
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,06963927405876436,NUM,nummod,bitcoin
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,#,NOUN,nummod,btc
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,btc,NOUN,appos,update
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,follow,VERB,ROOT,follow
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,for,ADP,prep,follow
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,recent,ADJ,amod,price
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,eth,NOUN,compound,price
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,price,NOUN,pobj,for
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,updates,VERB,advcl,follow
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,#,SYM,dep,updates
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,altcoin,VERB,xcomp,updates
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,#,SYM,det,cryptocurrency
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,cryptocurrency,NOUN,dobj,altcoin
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,#,SYM,dep,altcoin
0,#ethereum price update #eth 1628 77 usd #bitcoin 0 06963927405876436 #btc follow for recent eth price updates #altcoin #cryptocurrency #crypto,crypto,NOUN,punct,follow
1,i would say that #bitcoin is the only thing that is structurally deflationary,i,PRON,nsubj,say
1,i would say that #bitcoin is the only thing that is structurally deflationary,would,AUX,aux,say
1,i would say that #bitcoin is the only thing that is structurally deflationary,say,VERB,ROOT,say
1,i would say that #bitcoin is the only thing that is structurally deflationary,that,SCONJ,mark,is
1,i would say that #bitcoin is the only thing that is structurally deflationary,#,SYM,quantmod,bitcoin
1,i would say that #bitcoin is the only thing that is structurally deflationary,bitcoin,NOUN,nsubj,is
1,i would say that #bitcoin is the only thing that is structurally deflationary,is,AUX,ccomp,say
1,i would say that #bitcoin is the only thing that is structurally deflationary,the,DET,det,thing
1,i would say that #bitcoin is the only thing that is structurally deflationary,only,ADJ,amod,thing
1,i would say that #bitcoin is the only thing that is structurally deflationary,thing,NOUN,attr,is
1,i would say that #bitcoin is the only thing that is structurally deflationary,that,PRON,nsubj,is
1,i would say that #bitcoin is the only thing that is structurally deflationary,is,AUX,relcl,thing
1,i would say that #bitcoin is the only thing that is structurally deflationary,structurally,ADV,advmod,deflationary
1,i would say that #bitcoin is the only thing that is structurally deflationary,deflationary,ADJ,acomp,is
